ccode;iso3;country;region;ctr
643;RUS;Russian Federation;Eastern Europe;Russian Federation
703;SVK;Slovakia;Eastern Europe;Slovakia
804;UKR;Ukraine;Eastern Europe;Ukraine
810;NA;USSR (until 1991);Eastern Europe;Ussr (until 1991)
60;BMU;Bermuda;Latin America and Caribbean;Bermuda
124;CAN;Canada;Western Offshoots;Canada
304;GRL;Greenland;Western Europe;Greenland
666;SPM;Saint Pierre and Miquelon;Latin America and Caribbean;Saint Pierre And Miquelon
840;USA;United States of America;Western Offshoots;United States
660;AIA;Anguilla;Latin America and Caribbean;Anguilla
28;ATG;Antigua and Barbuda;Latin America and Caribbean;Antigua And Barbuda
533;ABW;Aruba;Latin America and Caribbean;Aruba
44;BHS;Bahamas;Latin America and Caribbean;Bahamas
52;BRB;Barbados;Latin America and Caribbean;Barbados
535;NA;Bonaire, Saint Eustatius and Saba;Latin America and Caribbean;Bonaire, Saint Eustatius And Saba
92;VGB;British Virgin Islands;Latin America and Caribbean;Virgin Islands, British
136;CYM;Cayman Islands;Latin America and Caribbean;Cayman Islands
192;CUB;Cuba;Latin America and Caribbean;Cuba
531;CUW;Curaçao;Latin America and Caribbean;Curacao
212;DMA;Dominica;Latin America and Caribbean;Dominica
214;DOM;Dominican Republic;Latin America and Caribbean;Dominican Republic
308;GRD;Grenada;Latin America and Caribbean;Grenada
312;GLP;Guadeloupe;Latin America and Caribbean;Guadeloupe
332;HTI;Haiti;Latin America and Caribbean;Haiti
388;JAM;Jamaica;Latin America and Caribbean;Jamaica
474;MTQ;Martinique;Latin America and Caribbean;Martinique
500;MSR;Montserrat;Latin America and Caribbean;Montserrat
530;ANT;Netherlands Antilles (until 2010);Latin America and Caribbean;Netherlands Antilles
630;PRI;Puerto Rico;Latin America and Caribbean;Puerto Rico
652;BLM;Saint-Barth_lemy;Latin America and Caribbean;Saint Barthelemy
659;KNA;Saint Kitts and Nevis;Latin America and Caribbean;Saint Kitts And Nevis
662;LCA;Saint Lucia;Latin America and Caribbean;Saint Lucia
663;MAF;Saint Martin (French part);Latin America and Caribbean;Saint Martin
670;VCT;Saint Vincent and the Grenadines;Latin America and Caribbean;Saint Vincent And The Grenadines
534;SXM;Sint Maarten (Dutch part);Latin America and Caribbean;Sint Maarten
780;TTO;Trinidad and Tobago;Latin America and Caribbean;Trinidad And Tobago
796;TCA;Turks and Caicos Islands;Latin America and Caribbean;Turks And Caicos Islands
850;VIR;United States Virgin Islands;Latin America and Caribbean;Virgin Islands, U.s.
84;BLZ;Belize;Latin America and Caribbean;Belize
188;CRI;Costa Rica;Latin America and Caribbean;Costa Rica
222;SLV;El Salvador;Latin America and Caribbean;El Salvador
320;GTM;Guatemala;Latin America and Caribbean;Guatemala
340;HND;Honduras;Latin America and Caribbean;Honduras
484;MEX;Mexico;Latin America and Caribbean;Mexico
558;NIC;Nicaragua;Latin America and Caribbean;Nicaragua
591;PAN;Panama;Latin America and Caribbean;Panama
32;ARG;Argentina;Latin America and Caribbean;Argentina
68;BOL;Bolivia (Plurinational State of);Latin America and Caribbean;Bolivia, Plurinational State Of
76;BRA;Brazil;Latin America and Caribbean;Brazil
152;CHL;Chile;Latin America and Caribbean;Chile
170;COL;Colombia;Latin America and Caribbean;Colombia
218;ECU;Ecuador;Latin America and Caribbean;Ecuador
238;FLK;Falkland Islands (Malvinas);Latin America and Caribbean;Falkland Islands (malvinas)
254;GUF;French Guiana;Latin America and Caribbean;French Guiana
328;GUY;Guyana;Latin America and Caribbean;Guyana
600;PRY;Paraguay;Latin America and Caribbean;Paraguay
604;PER;Peru;Latin America and Caribbean;Peru
740;SUR;Suriname;Latin America and Caribbean;Suriname
858;URY;Uruguay;Latin America and Caribbean;Uruguay
862;VEN;Venezuela (Bolivarian Republic of);Latin America and Caribbean;Venezuela, Bolivarian Republic Of
36;AUS;Australia;Western Offshoots;Australia
554;NZL;New Zealand;Western Offshoots;New Zealand
574;NFK;Norfolk Island;South and South-East Asia;Norfolk Island
242;FJI;Fiji;South and South-East Asia;Fiji
540;NCL;New Caledonia;South and South-East Asia;New Caledonia
598;PNG;Papua New Guinea;South and South-East Asia;Papua New Guinea
90;SLB;Solomon Islands;South and South-East Asia;Solomon Islands
548;VUT;Vanuatu;South and South-East Asia;Vanuatu
316;GUM;Guam;South and South-East Asia;Guam
296;KIR;Kiribati;South and South-East Asia;Kiribati
584;MHL;Marshall Islands;South and South-East Asia;Marshall Islands
583;FSM;Micronesia (Federated States of);South and South-East Asia;Micronesia, Federated States Of
520;NRU;Nauru;South and South-East Asia;Nauru
580;MNP;Northern Mariana Islands;South and South-East Asia;Northern Mariana Islands
582;NA;Pacific Islands (Trust Territory) (1947-1986);South and South-East Asia;Pacific Islands (trust Territory) (1947-1986)
585;PLW;Palau;South and South-East Asia;Palau
16;ASM;American Samoa;South and South-East Asia;American Samoa
184;COK;Cook Islands;South and South-East Asia;Cook Islands
258;PYF;French Polynesia;South and South-East Asia;French Polynesia
570;NIU;Niue;South and South-East Asia;Niue
612;PCN;Pitcairn;South and South-East Asia;Pitcairn
882;WSM;Samoa;South and South-East Asia;Samoa
772;NA;Tokelau;South and South-East Asia;Tokelau
776;TON;Tonga;South and South-East Asia;Tonga
798;TUV;Tuvalu;South and South-East Asia;Tuvalu
876;WLF;Wallis and Futuna Islands;South and South-East Asia;Wallis And Futuna
4;AFG;Afghanistan;South and South-East Asia;Afghanistan
50;BGD;Bangladesh;South and South-East Asia;Bangladesh
64;BTN;Bhutan;South and South-East Asia;Bhutan
356;IND;India;South and South-East Asia;India
364;IRN;Iran (Islamic Republic of);MENA;Iran, Islamic Republic Of
462;MDV;Maldives;South and South-East Asia;Maldives
524;NPL;Nepal;South and South-East Asia;Nepal
586;PAK;Pakistan;South and South-East Asia;Pakistan
144;LKA;Sri Lanka;South and South-East Asia;Sri Lanka
156;CHN;China;East Asia;China
344;HKG;Hong Kong China;East Asia;Hong Kong
446;MAC;China, Macao Special Administrative Region;East Asia;Macao
408;PRK;Democratic People's Republic of Korea;East Asia;Korea, Democratic People's Republic Of
392;JPN;Japan;East Asia;Japan
496;MNG;Mongolia;East Asia;Mongolia
410;KOR;Korea;East Asia;Korea, Republic Of
96;BRN;Brunei Darussalam;South and South-East Asia;Brunei Darussalam
116;KHM;Cambodia;South and South-East Asia;Cambodia
360;IDN;Indonesia;South and South-East Asia;Indonesia
418;LAO;Lao People's Democratic Republic;South and South-East Asia;Lao People's Democratic Republic
458;MYS;Malaysia;South and South-East Asia;Malaysia
104;MMR;Myanmar;South and South-East Asia;Myanmar
608;PHL;Philippines;South and South-East Asia;Philippines
702;SGP;Singapore;South and South-East Asia;Singapore
764;THA;Thailand;South and South-East Asia;Thailand
626;TLS;Timor-Leste;South and South-East Asia;Timor-leste
704;VNM;Viet Nam;South and South-East Asia;Vietnam
51;ARM;Armenia;Eastern Europe;Armenia
31;AZE;Azerbaijan;Eastern Europe;Azerbaijan
48;BHR;Bahrain;MENA;Bahrain
196;CYP;Cyprus;MENA;Cyprus
720;NA;Democratic Yemen (until 1990);MENA;Democratic Yemen (until 1990)
268;GEO;Georgia;Eastern Europe;Georgia
368;IRQ;Iraq;MENA;Iraq
376;ISR;Israel;MENA;Israel
400;JOR;Jordan;MENA;Jordan
414;KWT;Kuwait;MENA;Kuwait
422;LBN;Lebanon;MENA;Lebanon
275;PSE;Palestinian Authority;MENA;Palestinian Territory, Occupied
512;OMN;Oman;MENA;Oman
634;QAT;Qatar;MENA;Qatar
682;SAU;Saudi Arabia;MENA;Saudi Arabia
760;SYR;Syrian Arab Republic;MENA;Syrian Arab Republic
792;TUR;Turkey;MENA;Turkey
784;ARE;United Arab Emirates;MENA;United Arab Emirates
886;NA;Yemen (until 1990);MENA;Yemen (until 1990)
887;YEM;Yemen;MENA;Yemen
398;KAZ;Kazakhstan;Eastern Europe;Kazakhstan
417;KGZ;Kyrgyzstan;Eastern Europe;Kyrgyzstan
762;TJK;Tajikistan;Eastern Europe;Tajikistan
795;TKM;Turkmenistan;Eastern Europe;Turkmenistan
860;UZB;Uzbekistan;Eastern Europe;Uzbekistan
12;DZA;Algeria;MENA;Algeria
818;EGY;Egypt;MENA;Egypt
434;LBY;Libya;MENA;Libyan Arab Jamahiriya
504;MAR;Morocco;MENA;Morocco
728;SSD;South Sudan;MENA;South Sudan
729;NA;Sudan (North);MENA;Sudan (north)
736;SDN;Sudan (until 2011);MENA;Sudan
788;TUN;Tunisia;MENA;Tunisia
732;ESH;Western Sahara;MENA;Western Sahara
204;BEN;Benin;Sub-Saharan Africa;Benin
854;BFA;Burkina Faso;Sub-Saharan Africa;Burkina Faso
132;CPV;Cape Verde;Sub-Saharan Africa;Cape Verde
384;CIV;Cote d'Ivoire;Sub-Saharan Africa;Cote D'ivoire
270;GMB;Gambia;Sub-Saharan Africa;Gambia
288;GHA;Ghana;Sub-Saharan Africa;Ghana
324;GIN;Guinea;Sub-Saharan Africa;Guinea
624;GNB;Guinea-Bissau;Sub-Saharan Africa;Guinea-bissau
430;LBR;Liberia;Sub-Saharan Africa;Liberia
466;MLI;Mali;Sub-Saharan Africa;Mali
478;MRT;Mauritania;Sub-Saharan Africa;Mauritania
562;NER;Niger;Sub-Saharan Africa;Niger
566;NGA;Nigeria;Sub-Saharan Africa;Nigeria
654;SHN;Saint Helena;Sub-Saharan Africa;Saint Helena
686;SEN;Senegal;Sub-Saharan Africa;Senegal
694;SLE;Sierra Leone;Sub-Saharan Africa;Sierra Leone
768;TGO;Togo;Sub-Saharan Africa;Togo
24;AGO;Angola;Sub-Saharan Africa;Angola
120;CMR;Cameroon;Sub-Saharan Africa;Cameroon
140;CAF;Central African Republic;Sub-Saharan Africa;Central African Republic
148;TCD;Chad;Sub-Saharan Africa;Chad
178;COG;Congo;Sub-Saharan Africa;Congo, Republic Of
180;COD;Democratic Republic of the Congo;Sub-Saharan Africa;Congo, The Democratic Republic Of
226;GNQ;Equatorial Guinea;Sub-Saharan Africa;Equatorial Guinea
266;GAB;Gabon;Sub-Saharan Africa;Gabon
678;STP;Sao Tome and Principe;Sub-Saharan Africa;Sao Tome And Principe
72;BWA;Botswana;Sub-Saharan Africa;Botswana
426;LSO;Lesotho;Sub-Saharan Africa;Lesotho
516;NAM;Namibia;Sub-Saharan Africa;Namibia
710;ZAF;South Africa;Sub-Saharan Africa;South Africa
748;SWZ;Swaziland;Sub-Saharan Africa;Swaziland
108;BDI;Burundi;Sub-Saharan Africa;Burundi
174;COM;Comoros;Sub-Saharan Africa;Comoros
262;DJI;Djibouti;Sub-Saharan Africa;Djibouti
232;ERI;Eritrea;Sub-Saharan Africa;Eritrea
230;NA;Ethiopia (until 1993);Sub-Saharan Africa;Ethiopia (until 1993)
231;ETH;Ethiopia (from 1993);Sub-Saharan Africa;Ethiopia
404;KEN;Kenya;Sub-Saharan Africa;Kenya
450;MDG;Madagascar;Sub-Saharan Africa;Madagascar
454;MWI;Malawi;Sub-Saharan Africa;Malawi
480;MUS;Mauritius;Sub-Saharan Africa;Mauritius
175;MYT;Mayotte;Sub-Saharan Africa;Mayotte
508;MOZ;Mozambique;Sub-Saharan Africa;Mozambique
638;REU;R_union;Sub-Saharan Africa;Reunion
646;RWA;Rwanda;Sub-Saharan Africa;Rwanda
690;SYC;Seychelles;Sub-Saharan Africa;Seychelles
706;SOM;Somalia;Sub-Saharan Africa;Somalia
800;UGA;Uganda;Sub-Saharan Africa;Uganda
834;TZA;United Republic of Tanzania;Sub-Saharan Africa;Tanzania, United Republic Of
894;ZMB;Zambia;Sub-Saharan Africa;Zambia
716;ZWE;Zimbabwe;Sub-Saharan Africa;Zimbabwe
158;TWN;Taiwan;East Asia;Taiwan, Province Of China
-;XKS;Kosovo;Eastern Europe;Kosovo
