Code	Country	variable	value
398	Kazakhstan	1750	0
417	Kyrgyzstan	1750	0
762	Tajikistan	1750	0
795	Turkmenistan	1750	0
860	Uzbekistan	1750	0
12	Algeria	1750	0
818	Egypt	1750	0
434	Libya	1750	0
504	Morocco	1750	0
788	Tunisia	1750	0
732	Western Sahara	1750	0
204	Benin	1750	0
854	Burkina Faso	1750	0
132	Cape Verde	1750	0
384	Cote d'Ivoire	1750	0
270	Gambia	1750	0
288	Ghana	1750	0
324	Guinea	1750	0
624	Guinea-Bissau	1750	0
430	Liberia	1750	0
466	Mali	1750	0
478	Mauritania	1750	0
562	Niger	1750	0
566	Nigeria	1750	0
654	Saint Helena	1750	0
686	Senegal	1750	0
694	Sierra Leone	1750	0
768	Togo	1750	0
24	Angola	1750	0
120	Cameroon	1750	0
140	Central African Republic	1750	0
148	Chad	1750	0
178	Congo	1750	0
180	Democratic Republic of the Congo	1750	0
226	Equatorial Guinea	1750	0
266	Gabon	1750	0
678	Sao Tome and Principe	1750	0
72	Botswana	1750	0
516	Namibia	1750	0
710	South Africa	1750	0
748	Swaziland	1750	0
108	Burundi	1750	0
174	Comoros	1750	0
262	Djibouti	1750	0
232	Eritrea	1750	0
404	Kenya	1750	0
450	Madagascar	1750	0
454	Malawi	1750	0
480	Mauritius	1750	0
508	Mozambique	1750	0
638	R_union	1750	0
646	Rwanda	1750	0
690	Seychelles	1750	0
706	Somalia	1750	0
800	Uganda	1750	0
834	United Republic of Tanzania	1750	0
894	Zambia	1750	0
716	Zimbabwe	1750	0
40	Austria	1760	0
56	Belgium	1760	0
250	France	1760	0
276	Germany	1760	0
442	Luxembourg	1760	0
528	Netherlands	1760	0
756	Switzerland	1760	0
208	Denmark	1760	0
233	Estonia	1760	0
234	Faeroe Islands	1760	0
246	Finland	1760	0
352	Iceland	1760	0
372	Ireland	1760	0
428	Latvia	1760	0
440	Lithuania	1760	0
578	Norway	1760	0
752	Sweden	1760	0
826	United Kingdom	1760	0.277095
8	Albania	1760	0
20	Andorra	1760	0
70	Bosnia and Herzegovina	1760	0
191	Croatia	1760	0
292	Gibraltar	1760	0
300	Greece	1760	0
380	Italy	1760	0
470	Malta	1760	0
620	Portugal	1760	0
705	Slovenia	1760	0
724	Spain	1760	0
112	Belarus	1760	0
100	Bulgaria	1760	0
203	Czech Republic	1760	0
348	Hungary	1760	0
616	Poland	1760	0
498	Republic of Moldova	1760	0
642	Romania	1760	0
643	Russian Federation	1760	0
703	Slovakia	1760	0
804	Ukraine	1760	0
60	Bermuda	1760	0
124	Canada	1760	0
304	Greenland	1760	0
666	Saint Pierre and Miquelon	1760	0
840	United States of America	1760	0
28	Antigua and Barbuda	1760	0
44	Bahamas	1760	0
52	Barbados	1760	0
92	British Virgin Islands	1760	0
136	Cayman Islands	1760	0
192	Cuba	1760	0
212	Dominica	1760	0
214	Dominican Republic	1760	0
308	Grenada	1760	0
312	Guadeloupe	1760	0
332	Haiti	1760	0
388	Jamaica	1760	0
474	Martinique	1760	0
500	Montserrat	1760	0
630	Puerto Rico	1760	0
662	Saint Lucia	1760	0
670	Saint Vincent and the Grenadines	1760	0
780	Trinidad and Tobago	1760	0
84	Belize	1760	0
188	Costa Rica	1760	0
222	El Salvador	1760	0
320	Guatemala	1760	0
340	Honduras	1760	0
484	Mexico	1760	0
558	Nicaragua	1760	0
591	Panama	1760	0
32	Argentina	1760	0
68	Bolivia (Plurinational State of)	1760	0
76	Brazil	1760	0
152	Chile	1760	0
170	Colombia	1760	0
218	Ecuador	1760	0
238	Falkland Islands (Malvinas)	1760	0
254	French Guiana	1760	0
328	Guyana	1760	0
600	Paraguay	1760	0
604	Peru	1760	0
740	Suriname	1760	0
858	Uruguay	1760	0
862	Venezuela (Bolivarian Republic of)	1760	0
36	Australia	1760	0
554	New Zealand	1760	0
242	Fiji	1760	0
540	New Caledonia	1760	0
598	Papua New Guinea	1760	0
90	Solomon Islands	1760	0
548	Vanuatu	1760	0
296	Kiribati	1760	0
584	Marshall Islands	1760	0
520	Nauru	1760	0
585	Palau	1760	0
184	Cook Islands	1760	0
258	French Polynesia	1760	0
570	Niue	1760	0
882	Samoa	1760	0
776	Tonga	1760	0
4	Afghanistan	1760	0
50	Bangladesh	1760	0
64	Bhutan	1760	0
356	India	1760	0
364	Iran (Islamic Republic of)	1760	0
462	Maldives	1760	0
524	Nepal	1760	0
586	Pakistan	1760	0
144	Sri Lanka	1760	0
156	China	1760	0
344	Hong Kong China	1760	0
446	China, Macao Special Administrative Region	1760	0
408	Democratic People's Republic of Korea	1760	0
392	Japan	1760	0
496	Mongolia	1760	0
410	Korea	1760	0
9002	Taiwan	1760	0
96	Brunei Darussalam	1760	0
116	Cambodia	1760	0
360	Indonesia	1760	0
418	Lao People's Democratic Republic	1760	0
458	Malaysia	1760	0
104	Myanmar	1760	0
608	Philippines	1760	0
702	Singapore	1760	0
764	Thailand	1760	0
704	Viet Nam	1760	0
51	Armenia	1760	0
31	Azerbaijan	1760	0
48	Bahrain	1760	0
196	Cyprus	1760	0
268	Georgia	1760	0
368	Iraq	1760	0
376	Israel	1760	0
400	Jordan	1760	0
414	Kuwait	1760	0
422	Lebanon	1760	0
275	Palestinian Authority	1760	0
512	Oman	1760	0
634	Qatar	1760	0
682	Saudi Arabia	1760	0
760	Syrian Arab Republic	1760	0
792	Turkey	1760	0
784	United Arab Emirates	1760	0
887	Yemen	1760	0
398	Kazakhstan	1760	0
417	Kyrgyzstan	1760	0
762	Tajikistan	1760	0
795	Turkmenistan	1760	0
860	Uzbekistan	1760	0
12	Algeria	1760	0
818	Egypt	1760	0
434	Libya	1760	0
504	Morocco	1760	0
788	Tunisia	1760	0
732	Western Sahara	1760	0
204	Benin	1760	0
854	Burkina Faso	1760	0
132	Cape Verde	1760	0
384	Cote d'Ivoire	1760	0
270	Gambia	1760	0
288	Ghana	1760	0
324	Guinea	1760	0
624	Guinea-Bissau	1760	0
430	Liberia	1760	0
466	Mali	1760	0
478	Mauritania	1760	0
562	Niger	1760	0
566	Nigeria	1760	0
654	Saint Helena	1760	0
686	Senegal	1760	0
694	Sierra Leone	1760	0
768	Togo	1760	0
24	Angola	1760	0
120	Cameroon	1760	0
140	Central African Republic	1760	0
148	Chad	1760	0
178	Congo	1760	0
180	Democratic Republic of the Congo	1760	0
226	Equatorial Guinea	1760	0
266	Gabon	1760	0
678	Sao Tome and Principe	1760	0
72	Botswana	1760	0
516	Namibia	1760	0
710	South Africa	1760	0
748	Swaziland	1760	0
108	Burundi	1760	0
174	Comoros	1760	0
262	Djibouti	1760	0
232	Eritrea	1760	0
404	Kenya	1760	0
450	Madagascar	1760	0
454	Malawi	1760	0
480	Mauritius	1760	0
508	Mozambique	1760	0
638	R_union	1760	0
646	Rwanda	1760	0
690	Seychelles	1760	0
706	Somalia	1760	0
800	Uganda	1760	0
834	United Republic of Tanzania	1760	0
894	Zambia	1760	0
716	Zimbabwe	1760	0
40	Austria	1770	0
56	Belgium	1770	0
250	France	1770	0
276	Germany	1770	0
442	Luxembourg	1770	0
528	Netherlands	1770	0
756	Switzerland	1770	0
208	Denmark	1770	0
233	Estonia	1770	0
234	Faeroe Islands	1770	0
246	Finland	1770	0
352	Iceland	1770	0
372	Ireland	1770	0
428	Latvia	1770	0
440	Lithuania	1770	0
578	Norway	1770	0
752	Sweden	1770	0
826	United Kingdom	1770	0.322161
8	Albania	1770	0
20	Andorra	1770	0
70	Bosnia and Herzegovina	1770	0
191	Croatia	1770	0
292	Gibraltar	1770	0
300	Greece	1770	0
380	Italy	1770	0
470	Malta	1770	0
620	Portugal	1770	0
705	Slovenia	1770	0
724	Spain	1770	0
112	Belarus	1770	0
100	Bulgaria	1770	0
203	Czech Republic	1770	0
348	Hungary	1770	0
616	Poland	1770	0
498	Republic of Moldova	1770	0
642	Romania	1770	0
643	Russian Federation	1770	0
703	Slovakia	1770	0
804	Ukraine	1770	0
60	Bermuda	1770	0
124	Canada	1770	0
304	Greenland	1770	0
666	Saint Pierre and Miquelon	1770	0
840	United States of America	1770	0
28	Antigua and Barbuda	1770	0
44	Bahamas	1770	0
52	Barbados	1770	0
92	British Virgin Islands	1770	0
136	Cayman Islands	1770	0
192	Cuba	1770	0
212	Dominica	1770	0
214	Dominican Republic	1770	0
308	Grenada	1770	0
312	Guadeloupe	1770	0
332	Haiti	1770	0
388	Jamaica	1770	0
474	Martinique	1770	0
500	Montserrat	1770	0
630	Puerto Rico	1770	0
662	Saint Lucia	1770	0
670	Saint Vincent and the Grenadines	1770	0
780	Trinidad and Tobago	1770	0
84	Belize	1770	0
188	Costa Rica	1770	0
222	El Salvador	1770	0
320	Guatemala	1770	0
340	Honduras	1770	0
484	Mexico	1770	0
558	Nicaragua	1770	0
591	Panama	1770	0
32	Argentina	1770	0
68	Bolivia (Plurinational State of)	1770	0
76	Brazil	1770	0
152	Chile	1770	0
170	Colombia	1770	0
218	Ecuador	1770	0
238	Falkland Islands (Malvinas)	1770	0
254	French Guiana	1770	0
328	Guyana	1770	0
600	Paraguay	1770	0
604	Peru	1770	0
740	Suriname	1770	0
858	Uruguay	1770	0
862	Venezuela (Bolivarian Republic of)	1770	0
36	Australia	1770	0
554	New Zealand	1770	0
242	Fiji	1770	0
540	New Caledonia	1770	0
598	Papua New Guinea	1770	0
90	Solomon Islands	1770	0
548	Vanuatu	1770	0
296	Kiribati	1770	0
584	Marshall Islands	1770	0
520	Nauru	1770	0
585	Palau	1770	0
184	Cook Islands	1770	0
258	French Polynesia	1770	0
570	Niue	1770	0
882	Samoa	1770	0
776	Tonga	1770	0
4	Afghanistan	1770	0
50	Bangladesh	1770	0
64	Bhutan	1770	0
356	India	1770	0
364	Iran (Islamic Republic of)	1770	0
462	Maldives	1770	0
524	Nepal	1770	0
586	Pakistan	1770	0
144	Sri Lanka	1770	0
156	China	1770	0
344	Hong Kong China	1770	0
446	China, Macao Special Administrative Region	1770	0
408	Democratic People's Republic of Korea	1770	0
392	Japan	1770	0
496	Mongolia	1770	0
410	Korea	1770	0
9002	Taiwan	1770	0
96	Brunei Darussalam	1770	0
116	Cambodia	1770	0
360	Indonesia	1770	0
418	Lao People's Democratic Republic	1770	0
458	Malaysia	1770	0
104	Myanmar	1770	0
608	Philippines	1770	0
702	Singapore	1770	0
764	Thailand	1770	0
704	Viet Nam	1770	0
51	Armenia	1770	0
31	Azerbaijan	1770	0
48	Bahrain	1770	0
196	Cyprus	1770	0
268	Georgia	1770	0
368	Iraq	1770	0
376	Israel	1770	0
400	Jordan	1770	0
414	Kuwait	1770	0
422	Lebanon	1770	0
275	Palestinian Authority	1770	0
512	Oman	1770	0
634	Qatar	1770	0
682	Saudi Arabia	1770	0
760	Syrian Arab Republic	1770	0
792	Turkey	1770	0
784	United Arab Emirates	1770	0
887	Yemen	1770	0
398	Kazakhstan	1770	0
417	Kyrgyzstan	1770	0
762	Tajikistan	1770	0
795	Turkmenistan	1770	0
860	Uzbekistan	1770	0
12	Algeria	1770	0
818	Egypt	1770	0
434	Libya	1770	0
504	Morocco	1770	0
788	Tunisia	1770	0
732	Western Sahara	1770	0
204	Benin	1770	0
854	Burkina Faso	1770	0
132	Cape Verde	1770	0
384	Cote d'Ivoire	1770	0
270	Gambia	1770	0
288	Ghana	1770	0
324	Guinea	1770	0
624	Guinea-Bissau	1770	0
430	Liberia	1770	0
466	Mali	1770	0
478	Mauritania	1770	0
562	Niger	1770	0
566	Nigeria	1770	0
654	Saint Helena	1770	0
686	Senegal	1770	0
694	Sierra Leone	1770	0
768	Togo	1770	0
24	Angola	1770	0
120	Cameroon	1770	0
140	Central African Republic	1770	0
148	Chad	1770	0
178	Congo	1770	0
180	Democratic Republic of the Congo	1770	0
226	Equatorial Guinea	1770	0
266	Gabon	1770	0
678	Sao Tome and Principe	1770	0
72	Botswana	1770	0
516	Namibia	1770	0
710	South Africa	1770	0
748	Swaziland	1770	0
108	Burundi	1770	0
174	Comoros	1770	0
262	Djibouti	1770	0
232	Eritrea	1770	0
404	Kenya	1770	0
450	Madagascar	1770	0
454	Malawi	1770	0
480	Mauritius	1770	0
508	Mozambique	1770	0
638	R_union	1770	0
646	Rwanda	1770	0
690	Seychelles	1770	0
706	Somalia	1770	0
800	Uganda	1770	0
834	United Republic of Tanzania	1770	0
894	Zambia	1770	0
716	Zimbabwe	1770	0
40	Austria	1780	0
56	Belgium	1780	0
250	France	1780	0
276	Germany	1780	0
442	Luxembourg	1780	0
528	Netherlands	1780	0
756	Switzerland	1780	0
208	Denmark	1780	0
233	Estonia	1780	0
234	Faeroe Islands	1780	0
246	Finland	1780	0
352	Iceland	1780	0
372	Ireland	1780	0
428	Latvia	1780	0
440	Lithuania	1780	0
578	Norway	1780	0
752	Sweden	1780	0
826	United Kingdom	1780	0.375574
8	Albania	1780	0
20	Andorra	1780	0
70	Bosnia and Herzegovina	1780	0
191	Croatia	1780	0
292	Gibraltar	1780	0
300	Greece	1780	0
380	Italy	1780	0
470	Malta	1780	0
620	Portugal	1780	0
705	Slovenia	1780	0
724	Spain	1780	0
112	Belarus	1780	0
100	Bulgaria	1780	0
203	Czech Republic	1780	0
348	Hungary	1780	0
616	Poland	1780	0
498	Republic of Moldova	1780	0
642	Romania	1780	0
643	Russian Federation	1780	0
703	Slovakia	1780	0
804	Ukraine	1780	0
60	Bermuda	1780	0
124	Canada	1780	0
304	Greenland	1780	0
666	Saint Pierre and Miquelon	1780	0
840	United States of America	1780	0
28	Antigua and Barbuda	1780	0
44	Bahamas	1780	0
52	Barbados	1780	0
92	British Virgin Islands	1780	0
136	Cayman Islands	1780	0
192	Cuba	1780	0
212	Dominica	1780	0
214	Dominican Republic	1780	0
308	Grenada	1780	0
312	Guadeloupe	1780	0
332	Haiti	1780	0
388	Jamaica	1780	0
474	Martinique	1780	0
500	Montserrat	1780	0
630	Puerto Rico	1780	0
662	Saint Lucia	1780	0
670	Saint Vincent and the Grenadines	1780	0
780	Trinidad and Tobago	1780	0
84	Belize	1780	0
188	Costa Rica	1780	0
222	El Salvador	1780	0
320	Guatemala	1780	0
340	Honduras	1780	0
484	Mexico	1780	0
558	Nicaragua	1780	0
591	Panama	1780	0
32	Argentina	1780	0
68	Bolivia (Plurinational State of)	1780	0
76	Brazil	1780	0
152	Chile	1780	0
170	Colombia	1780	0
218	Ecuador	1780	0
238	Falkland Islands (Malvinas)	1780	0
254	French Guiana	1780	0
328	Guyana	1780	0
600	Paraguay	1780	0
604	Peru	1780	0
740	Suriname	1780	0
858	Uruguay	1780	0
862	Venezuela (Bolivarian Republic of)	1780	0
36	Australia	1780	0
554	New Zealand	1780	0
242	Fiji	1780	0
540	New Caledonia	1780	0
598	Papua New Guinea	1780	0
90	Solomon Islands	1780	0
548	Vanuatu	1780	0
296	Kiribati	1780	0
584	Marshall Islands	1780	0
520	Nauru	1780	0
585	Palau	1780	0
184	Cook Islands	1780	0
258	French Polynesia	1780	0
570	Niue	1780	0
882	Samoa	1780	0
776	Tonga	1780	0
4	Afghanistan	1780	0
50	Bangladesh	1780	0
64	Bhutan	1780	0
356	India	1780	0
364	Iran (Islamic Republic of)	1780	0
462	Maldives	1780	0
524	Nepal	1780	0
586	Pakistan	1780	0
144	Sri Lanka	1780	0
156	China	1780	0
344	Hong Kong China	1780	0
446	China, Macao Special Administrative Region	1780	0
408	Democratic People's Republic of Korea	1780	0
392	Japan	1780	0
496	Mongolia	1780	0
410	Korea	1780	0
9002	Taiwan	1780	0
96	Brunei Darussalam	1780	0
116	Cambodia	1780	0
360	Indonesia	1780	0
418	Lao People's Democratic Republic	1780	0
458	Malaysia	1780	0
104	Myanmar	1780	0
608	Philippines	1780	0
702	Singapore	1780	0
764	Thailand	1780	0
704	Viet Nam	1780	0
51	Armenia	1780	0
31	Azerbaijan	1780	0
48	Bahrain	1780	0
196	Cyprus	1780	0
268	Georgia	1780	0
368	Iraq	1780	0
376	Israel	1780	0
400	Jordan	1780	0
414	Kuwait	1780	0
422	Lebanon	1780	0
275	Palestinian Authority	1780	0
512	Oman	1780	0
634	Qatar	1780	0
682	Saudi Arabia	1780	0
760	Syrian Arab Republic	1780	0
792	Turkey	1780	0
784	United Arab Emirates	1780	0
887	Yemen	1780	0
398	Kazakhstan	1780	0
417	Kyrgyzstan	1780	0
762	Tajikistan	1780	0
795	Turkmenistan	1780	0
860	Uzbekistan	1780	0
12	Algeria	1780	0
818	Egypt	1780	0
434	Libya	1780	0
504	Morocco	1780	0
788	Tunisia	1780	0
732	Western Sahara	1780	0
204	Benin	1780	0
854	Burkina Faso	1780	0
132	Cape Verde	1780	0
384	Cote d'Ivoire	1780	0
270	Gambia	1780	0
288	Ghana	1780	0
324	Guinea	1780	0
624	Guinea-Bissau	1780	0
430	Liberia	1780	0
466	Mali	1780	0
478	Mauritania	1780	0
562	Niger	1780	0
566	Nigeria	1780	0
654	Saint Helena	1780	0
686	Senegal	1780	0
694	Sierra Leone	1780	0
768	Togo	1780	0
24	Angola	1780	0
120	Cameroon	1780	0
140	Central African Republic	1780	0
148	Chad	1780	0
178	Congo	1780	0
180	Democratic Republic of the Congo	1780	0
226	Equatorial Guinea	1780	0
266	Gabon	1780	0
678	Sao Tome and Principe	1780	0
72	Botswana	1780	0
516	Namibia	1780	0
710	South Africa	1780	0
748	Swaziland	1780	0
108	Burundi	1780	0
174	Comoros	1780	0
262	Djibouti	1780	0
232	Eritrea	1780	0
404	Kenya	1780	0
450	Madagascar	1780	0
454	Malawi	1780	0
480	Mauritius	1780	0
508	Mozambique	1780	0
638	R_union	1780	0
646	Rwanda	1780	0
690	Seychelles	1780	0
706	Somalia	1780	0
800	Uganda	1780	0
834	United Republic of Tanzania	1780	0
894	Zambia	1780	0
716	Zimbabwe	1780	0
40	Austria	1790	0
56	Belgium	1790	0
250	France	1790	0
276	Germany	1790	0
442	Luxembourg	1790	0
528	Netherlands	1790	0
756	Switzerland	1790	0
208	Denmark	1790	0
233	Estonia	1790	0
234	Faeroe Islands	1790	0
246	Finland	1790	0
352	Iceland	1790	0
372	Ireland	1790	0
428	Latvia	1790	0
440	Lithuania	1790	0
578	Norway	1790	0
752	Sweden	1790	0
826	United Kingdom	1790	0.455282
8	Albania	1790	0
20	Andorra	1790	0
70	Bosnia and Herzegovina	1790	0
191	Croatia	1790	0
292	Gibraltar	1790	0
300	Greece	1790	0
380	Italy	1790	0
470	Malta	1790	0
620	Portugal	1790	0
705	Slovenia	1790	0
724	Spain	1790	0
112	Belarus	1790	0
100	Bulgaria	1790	0
203	Czech Republic	1790	0
348	Hungary	1790	0
616	Poland	1790	0
498	Republic of Moldova	1790	0
642	Romania	1790	0
643	Russian Federation	1790	0
703	Slovakia	1790	0
804	Ukraine	1790	0
60	Bermuda	1790	0
124	Canada	1790	0.00122466
304	Greenland	1790	0
666	Saint Pierre and Miquelon	1790	0
840	United States of America	1790	0
28	Antigua and Barbuda	1790	0
44	Bahamas	1790	0
52	Barbados	1790	0
92	British Virgin Islands	1790	0
136	Cayman Islands	1790	0
192	Cuba	1790	0
212	Dominica	1790	0
214	Dominican Republic	1790	0
308	Grenada	1790	0
312	Guadeloupe	1790	0
332	Haiti	1790	0
388	Jamaica	1790	0
474	Martinique	1790	0
500	Montserrat	1790	0
630	Puerto Rico	1790	0
662	Saint Lucia	1790	0
670	Saint Vincent and the Grenadines	1790	0
780	Trinidad and Tobago	1790	0
84	Belize	1790	0
188	Costa Rica	1790	0
222	El Salvador	1790	0
320	Guatemala	1790	0
340	Honduras	1790	0
484	Mexico	1790	0
558	Nicaragua	1790	0
591	Panama	1790	0
32	Argentina	1790	0
68	Bolivia (Plurinational State of)	1790	0
76	Brazil	1790	0
152	Chile	1790	0
170	Colombia	1790	0
218	Ecuador	1790	0
238	Falkland Islands (Malvinas)	1790	0
254	French Guiana	1790	0
328	Guyana	1790	0
600	Paraguay	1790	0
604	Peru	1790	0
740	Suriname	1790	0
858	Uruguay	1790	0
862	Venezuela (Bolivarian Republic of)	1790	0
36	Australia	1790	0
554	New Zealand	1790	0
242	Fiji	1790	0
540	New Caledonia	1790	0
598	Papua New Guinea	1790	0
90	Solomon Islands	1790	0
548	Vanuatu	1790	0
296	Kiribati	1790	0
584	Marshall Islands	1790	0
520	Nauru	1790	0
585	Palau	1790	0
184	Cook Islands	1790	0
258	French Polynesia	1790	0
570	Niue	1790	0
882	Samoa	1790	0
776	Tonga	1790	0
4	Afghanistan	1790	0
50	Bangladesh	1790	0
64	Bhutan	1790	0
356	India	1790	0
364	Iran (Islamic Republic of)	1790	0
462	Maldives	1790	0
524	Nepal	1790	0
586	Pakistan	1790	0
144	Sri Lanka	1790	0
156	China	1790	0
344	Hong Kong China	1790	0
446	China, Macao Special Administrative Region	1790	0
408	Democratic People's Republic of Korea	1790	0
392	Japan	1790	0
496	Mongolia	1790	0
410	Korea	1790	0
9002	Taiwan	1790	0
96	Brunei Darussalam	1790	0
116	Cambodia	1790	0
360	Indonesia	1790	0
418	Lao People's Democratic Republic	1790	0
458	Malaysia	1790	0
104	Myanmar	1790	0
608	Philippines	1790	0
702	Singapore	1790	0
764	Thailand	1790	0
704	Viet Nam	1790	0
51	Armenia	1790	0
31	Azerbaijan	1790	0
48	Bahrain	1790	0
196	Cyprus	1790	0
268	Georgia	1790	0
368	Iraq	1790	0
376	Israel	1790	0
400	Jordan	1790	0
414	Kuwait	1790	0
422	Lebanon	1790	0
275	Palestinian Authority	1790	0
512	Oman	1790	0
634	Qatar	1790	0
682	Saudi Arabia	1790	0
760	Syrian Arab Republic	1790	0
792	Turkey	1790	0
784	United Arab Emirates	1790	0
887	Yemen	1790	0
398	Kazakhstan	1790	0
417	Kyrgyzstan	1790	0
762	Tajikistan	1790	0
795	Turkmenistan	1790	0
860	Uzbekistan	1790	0
12	Algeria	1790	0
818	Egypt	1790	0
434	Libya	1790	0
504	Morocco	1790	0
788	Tunisia	1790	0
732	Western Sahara	1790	0
204	Benin	1790	0
854	Burkina Faso	1790	0
132	Cape Verde	1790	0
384	Cote d'Ivoire	1790	0
270	Gambia	1790	0
288	Ghana	1790	0
324	Guinea	1790	0
624	Guinea-Bissau	1790	0
430	Liberia	1790	0
466	Mali	1790	0
478	Mauritania	1790	0
562	Niger	1790	0
566	Nigeria	1790	0
654	Saint Helena	1790	0
686	Senegal	1790	0
694	Sierra Leone	1790	0
768	Togo	1790	0
24	Angola	1790	0
120	Cameroon	1790	0
140	Central African Republic	1790	0
148	Chad	1790	0
178	Congo	1790	0
180	Democratic Republic of the Congo	1790	0
226	Equatorial Guinea	1790	0
266	Gabon	1790	0
678	Sao Tome and Principe	1790	0
72	Botswana	1790	0
516	Namibia	1790	0
710	South Africa	1790	0
748	Swaziland	1790	0
108	Burundi	1790	0
174	Comoros	1790	0
262	Djibouti	1790	0
232	Eritrea	1790	0
404	Kenya	1790	0
450	Madagascar	1790	0
454	Malawi	1790	0
480	Mauritius	1790	0
508	Mozambique	1790	0
638	R_union	1790	0
646	Rwanda	1790	0
690	Seychelles	1790	0
706	Somalia	1790	0
800	Uganda	1790	0
834	United Republic of Tanzania	1790	0
894	Zambia	1790	0
716	Zimbabwe	1790	0
40	Austria	1800	0
56	Belgium	1800	0
250	France	1800	0
276	Germany	1800	0.00948787
442	Luxembourg	1800	0
528	Netherlands	1800	0
756	Switzerland	1800	0
208	Denmark	1800	0
233	Estonia	1800	0
234	Faeroe Islands	1800	0
246	Finland	1800	0
352	Iceland	1800	0
372	Ireland	1800	0
428	Latvia	1800	0
440	Lithuania	1800	0
578	Norway	1800	0
752	Sweden	1800	0
826	United Kingdom	1800	0.602738
8	Albania	1800	0
20	Andorra	1800	0
70	Bosnia and Herzegovina	1800	0
191	Croatia	1800	0
292	Gibraltar	1800	0
300	Greece	1800	0
380	Italy	1800	0
470	Malta	1800	0
620	Portugal	1800	0
705	Slovenia	1800	0
724	Spain	1800	0
112	Belarus	1800	0
100	Bulgaria	1800	0
203	Czech Republic	1800	0
348	Hungary	1800	0
616	Poland	1800	0.0116823
498	Republic of Moldova	1800	0
642	Romania	1800	0
643	Russian Federation	1800	0
703	Slovakia	1800	0
804	Ukraine	1800	0
60	Bermuda	1800	0
124	Canada	1800	0.00103383
304	Greenland	1800	0
